instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,gap_vs_first
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_CONT_FIX,7803.0,1,1,0.002,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_LAYERED,7803.0,1,1,0.0017,1,1,1,51,1.0,,,,,,0.0
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0017,1,1,1,51,1.0,,0,0,0,0,0.0
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP,7803.0,1,1,0.0017,,,,,,,,,,,
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_CONT,7803.0,1,1,0.0018,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_CONT_FIX,7803.0,1,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_LAYERED,7803.0,1,1,0.0016,1,1,1,51,1.0,,,,,,0.0
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0017,1,1,1,51,1.0,,0,0,0,0,0.0
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP,7803.0,1,1,0.0016,,,,,,,,,,,
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_CONT,7803.0,1,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_CONT_FIX,7803.0,1,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_LAYERED,7803.0,1,1,0.0017,1,1,1,51,1.0,,,,,,0.0
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0017,1,1,1,51,1.0,,0,0,0,0,0.0
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP,7803.0,1,1,0.0018,,,,,,,,,,,
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_CONT,7803.0,1,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_CONT_FIX,7803.0,1,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_LAYERED,7803.0,1,1,0.0015,1,1,1,51,1.0,,,,,,0.0
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0016,1,1,1,51,1.0,,0,0,0,0,0.0
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP,328886.0,35,2,0.0019,,,,,,,,,,,
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_CONT,328886.0,35,2,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_CONT_FIX,328886.0,35,2,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED,328886.0,35,2,0.0018,31,6,2,505,4.00794,,,,,,0.0
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,328886.0,35,2,0.0018,31,7,2,557,4.42063,,0,0,89,0,0.0
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP,214093.0,20,1,0.0016,,,,,,,,,,,
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_CONT,214093.0,20,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_CONT_FIX,214093.0,20,1,0.0016,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_LAYERED,214093.0,20,1,0.0017,18,5,1,365,2.89683,,,,,,0.0
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,214093.0,20,1,0.0018,18,5,1,387,3.07143,,0,0,36,0,0.0
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP,147478.0,8,1,0.0016,,,,,,,,,,,
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_CONT,147478.0,8,1,0.0018,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_CONT_FIX,147478.0,8,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_LAYERED,147478.0,8,1,0.0018,7,3,1,230,1.8254,,,,,,0.0
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,147478.0,8,1,0.0017,7,3,1,252,2.0,,0,0,59,0,0.0
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP,129773.0,4,1,0.0017,,,,,,,,,,,
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_CONT,129773.0,4,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_CONT_FIX,129773.0,4,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_LAYERED,129773.0,4,1,0.0016,4,2,1,153,1.21429,,,,,,0.0
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,129773.0,4,1,0.0018,4,2,1,155,1.23016,,0,0,15,0,0.0
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP,126048.0,2,1,0.0016,,,,,,,,,,,
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_CONT,126048.0,2,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_CONT_FIX,126048.0,2,1,0.0017,,,,,,0,,0,,,0.0
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_LAYERED,126048.0,2,1,0.0016,2,1,1,126,1.0,,,,,,0.0
